Index|Query
Q27|SELECT * WHERE { ?x <http://dbpedia.org/ontology/subdivision> ?y .} LIMIT 100000
Q28|SELECT * WHERE { ?x <http://dbpedia.org/property/birthDate> ?y .} LIMIT 100000
Q29|SELECT * WHERE { ?x <http://dbpedia.org/property/location> ?y .} LIMIT 100000
Q30|SELECT * WHERE { ?x <http://dbpedia.org/property/caption> ?y .} LIMIT 100000
Q31|SELECT * WHERE { ?x <http://dbpedia.org/property/clubs> ?y .} LIMIT 100000
Q32|SELECT * WHERE { ?x <http://dbpedia.org/ontology/numberOfGoals> ?y .} LIMIT 100000
Q33|SELECT * WHERE { ?x <http://dbpedia.org/ontology/numberOfMatches> ?y .} LIMIT 100000
Q34|SELECT * WHERE { ?x <http://dbpedia.org/ontology/birthDate> ?y .} LIMIT 100000
Q35|SELECT * WHERE { ?x <http://dbpedia.org/property/percentage> ?y .} LIMIT 100000
Q36|SELECT * WHERE { ?x <http://dbpedia.org/property/candidate> ?y .} LIMIT 100000
Q37|SELECT * WHERE { ?x <http://dbpedia.org/property/team> ?y .} LIMIT 100000
Q38|SELECT * WHERE { ?x <http://dbpedia.org/property/caps> ?y .} LIMIT 100000
Q39|SELECT * WHERE { ?x <http://dbpedia.org/property/report> ?y .} LIMIT 100000
Q40|SELECT * WHERE { ?x <http://dbpedia.org/ontology/country> ?y .} LIMIT 100000
Q41|SELECT * WHERE { ?x <http://dbpedia.org/property/length> ?y .} LIMIT 100000
Q42|SELECT * WHERE { ?x <http://dbpedia.org/property/rd1Team> ?y .} LIMIT 100000
Q43|SELECT * WHERE { ?x <http://xmlns.com/foaf/0.1/homepage> ?y .} LIMIT 100000
Q44|SELECT * WHERE { ?x <http://dbpedia.org/property/type> ?y .} LIMIT 100000
Q45|SELECT * WHERE { ?x <http://dbpedia.org/property/stadium> ?y .} LIMIT 100000
Q46|SELECT * WHERE { ?x <http://dbpedia.org/property/attendance> ?y .} LIMIT 100000
Q47|SELECT * WHERE { ?x <http://dbpedia.org/ontology/utcOffset> ?y .} LIMIT 100000
Q48|SELECT * WHERE { ?x <http://dbpedia.org/property/genre> ?y .} LIMIT 100000
Q49|SELECT * WHERE { ?x <http://dbpedia.org/property/occupation> ?y .} LIMIT 100000
Q50|SELECT * WHERE { ?x <http://dbpedia.org/property/country> ?y .} LIMIT 100000
Q51|SELECT * WHERE { ?x <http://dbpedia.org/ontology/currentMember> ?y .} LIMIT 100000
Q52|SELECT * WHERE { ?x <http://dbpedia.org/ontology/location> ?y .} LIMIT 100000
Q53|SELECT * WHERE { ?x <http://dbpedia.org/property/referee> ?y .} LIMIT 100000
Q54|SELECT * WHERE { ?x <http://dbpedia.org/ontology/type> ?y .} LIMIT 100000
Q55|SELECT * WHERE { ?x <http://dbpedia.org/property/party> ?y .} LIMIT 100000
Q56|SELECT * WHERE { ?x <http://dbpedia.org/ontology/timeZone> ?y .} LIMIT 100000
Q57|SELECT * WHERE { ?x <http://dbpedia.org/ontology/occupation> ?y .} LIMIT 100000
Q58|SELECT * WHERE { ?x <http://dbpedia.org/property/writer> ?y .} LIMIT 100000
Q59|SELECT * WHERE { ?x <http://dbpedia.org/property/deathPlace> ?y .} LIMIT 100000
Q60|SELECT * WHERE { ?x <http://dbpedia.org/property/rd2Team> ?y .} LIMIT 100000
Q61|SELECT * WHERE { ?x <http://dbpedia.org/ontology/title> ?y .} LIMIT 100000
Q62|SELECT * WHERE { ?x <http://dbpedia.org/property/deathDate> ?y .} LIMIT 100000
Q63|SELECT * WHERE { ?x <http://dbpedia.org/property/starring> ?y .} LIMIT 100000
Q64|SELECT * WHERE { ?x <http://dbpedia.org/property/round> ?y .} LIMIT 100000
Q65|SELECT * WHERE { ?x <http://dbpedia.org/property/label> ?y .} LIMIT 100000
Q66|SELECT * WHERE { ?x <http://dbpedia.org/ontology/deathPlace> ?y .} LIMIT 100000
Q67|SELECT * WHERE { ?x <http://dbpedia.org/property/settlementType> ?y .} LIMIT 100000
Q68|SELECT * WHERE { ?x <http://dbpedia.org/property/score> ?y .} LIMIT 100000
Q69|SELECT * WHERE { ?x <http://dbpedia.org/property/pushpinMap> ?y .} LIMIT 100000
Q70|SELECT * WHERE { ?x <http://dbpedia.org/property/spouse> ?y .} LIMIT 100000
Q71|SELECT * WHERE { ?x <http://dbpedia.org/property/no> ?y .} LIMIT 100000
Q72|SELECT * WHERE { ?x <http://dbpedia.org/ontology/squadNumber> ?y .} LIMIT 100000
Q73|SELECT * WHERE { ?x <http://dbpedia.org/property/website> ?y .} LIMIT 100000
Q74|SELECT * WHERE { ?x <http://dbpedia.org/property/utcOffset> ?y .} LIMIT 100000
Q75|SELECT * WHERE { ?x <http://dbpedia.org/property/authority> ?y .} LIMIT 100000
Q76|SELECT * WHERE { ?x <http://dbpedia.org/ontology/activeYearsStartYear> ?y .} LIMIT 100000
Q77|SELECT * WHERE { ?x <http://dbpedia.org/ontology/starring> ?y .} LIMIT 100000
Q78|SELECT * WHERE { ?x <http://dbpedia.org/property/timezone> ?y .} LIMIT 100000
Q79|SELECT * WHERE { ?x <http://dbpedia.org/ontology/termPeriod> ?y .} LIMIT 100000
Q80|SELECT * WHERE { ?x <http://dbpedia.org/ontology/populationTotal> ?y .} LIMIT 100000
Q81|SELECT * WHERE { ?x <http://dbpedia.org/property/position> ?y .} LIMIT 100000
Q82|SELECT * WHERE { ?x <http://dbpedia.org/ontology/deathDate> ?y .} LIMIT 100000
Q83|SELECT * WHERE { ?x <http://dbpedia.org/property/change> ?y .} LIMIT 100000
Q84|SELECT * WHERE { ?x <http://dbpedia.org/property/nationality> ?y .} LIMIT 100000
Q85|SELECT * WHERE { ?x <http://dbpedia.org/ontology/position> ?y .} LIMIT 100000
Q86|SELECT * WHERE { ?x <http://dbpedia.org/property/termStart> ?y .} LIMIT 100000
Q87|SELECT * WHERE { ?x <http://dbpedia.org/property/time> ?y .} LIMIT 100000
Q88|SELECT * WHERE { ?x <http://dbpedia.org/property/producer> ?y .} LIMIT 100000
Q89|SELECT * WHERE { ?x <http://dbpedia.org/ontology/genre> ?y .} LIMIT 100000
Q90|SELECT * WHERE { ?x <http://dbpedia.org/property/populationTotal> ?y .} LIMIT 100000
Q91|SELECT * WHERE { ?x <http://dbpedia.org/property/populationAsOf> ?y .} LIMIT 100000
Q92|SELECT * WHERE { ?x <http://dbpedia.org/property/year> ?y .} LIMIT 100000
Q93|SELECT * WHERE { ?x <http://www.w3.org/2000/01/rdf-schema#seeAlso> ?y .} LIMIT 100000
Q94|SELECT * WHERE { ?x <http://dbpedia.org/ontology/office> ?y .} LIMIT 100000
Q95|SELECT * WHERE { ?x <http://dbpedia.org/property/desc> ?y .} LIMIT 100000
Q96|SELECT * WHERE { ?x <http://dbpedia.org/property/officialName> ?y .} LIMIT 100000
Q97|SELECT * WHERE { ?x <http://dbpedia.org/property/predecessor> ?y .} LIMIT 100000
Q98|SELECT * WHERE { ?x <http://dbpedia.org/ontology/elevation> ?y .} LIMIT 100000
Q99|SELECT * WHERE { ?x <http://dbpedia.org/property/office> ?y .} LIMIT 100000
Q1001|SELECT * WHERE { ?x <http://dbpedia.org/property/premiere> ?y .} LIMIT 100000
Q100|SELECT * WHERE { ?x <http://dbpedia.org/property/termEnd> ?y .} LIMIT 100000
Q101|SELECT * WHERE { ?x <http://dbpedia.org/property/rd1Score> ?y .} LIMIT 100000
Q102|SELECT * WHERE { ?x <http://dbpedia.org/ontology/height> ?y .} LIMIT 100000
Q103|SELECT * WHERE { ?x <http://dbpedia.org/property/genus> ?y .} LIMIT 100000
Q104|SELECT * WHERE { ?x <http://dbpedia.org/property/imageCaption> ?y .} LIMIT 100000
Q105|SELECT * WHERE { ?x <http://dbpedia.org/property/nativeName> ?y .} LIMIT 100000
Q106|SELECT * WHERE { ?x <http://dbpedia.org/property/successor> ?y .} LIMIT 100000
Q107|SELECT * WHERE { ?x <http://dbpedia.org/property/almaMater> ?y .} LIMIT 100000
Q108|SELECT * WHERE { ?x <http://dbpedia.org/ontology/birthYear> ?y .} LIMIT 100000
Q109|SELECT * WHERE { ?x <http://dbpedia.org/ontology/predecessor> ?y .} LIMIT 100000
Q110|SELECT * WHERE { ?x <http://dbpedia.org/property/species> ?y .} LIMIT 100000
Q111|SELECT * WHERE { ?x <http://dbpedia.org/property/id> ?y .} LIMIT 100000
Q112|SELECT * WHERE { ?x <http://dbpedia.org/property/populationDensityKm> ?y .} LIMIT 100000
Q113|SELECT * WHERE { ?x <http://dbpedia.org/ontology/successor> ?y .} LIMIT 100000
Q114|SELECT * WHERE { ?x <http://dbpedia.org/ontology/postalCode> ?y .} LIMIT 100000
Q115|SELECT * WHERE { ?x <http://dbpedia.org/ontology/areaTotal> ?y .} LIMIT 100000
Q116|SELECT * WHERE { ?x <http://dbpedia.org/property/language> ?y .} LIMIT 100000
Q117|SELECT * WHERE { ?x <http://dbpedia.org/property/synonyms> ?y .} LIMIT 100000
Q118|SELECT * WHERE { ?x <http://dbpedia.org/property/image> ?y .} LIMIT 100000
Q1002|SELECT * WHERE { ?x <http://dbpedia.org/property/assets> ?y .} LIMIT 100000
Q119|SELECT * WHERE { ?x <http://dbpedia.org/ontology/start> ?y .} LIMIT 100000
Q120|SELECT * WHERE { ?x <http://dbpedia.org/ontology/PopulatedPlace/areaTotal> ?y .} LIMIT 100000
Q121|SELECT * WHERE { ?x <http://dbpedia.org/ontology/activeYearsEndYear> ?y .} LIMIT 100000
Q122|SELECT * WHERE { ?x <http://dbpedia.org/property/fullname> ?y .} LIMIT 100000
Q123|SELECT * WHERE { ?x <http://dbpedia.org/property/rd2Score> ?y .} LIMIT 100000
Q124|SELECT * WHERE { ?x <http://dbpedia.org/property/pos> ?y .} LIMIT 100000
Q125|SELECT * WHERE { ?x <http://dbpedia.org/ontology/Person/height> ?y .} LIMIT 100000
Q126|SELECT * WHERE { ?x <http://dbpedia.org/ontology/almaMater> ?y .} LIMIT 100000
Q127|SELECT * WHERE { ?x <http://dbpedia.org/property/rd3Team> ?y .} LIMIT 100000
Q128|SELECT * WHERE { ?x <http://dbpedia.org/property/address> ?y .} LIMIT 100000
Q129|SELECT * WHERE { ?x <http://dbpedia.org/property/birthName> ?y .} LIMIT 100000
Q130|SELECT * WHERE { ?x <http://dbpedia.org/property/before> ?y .} LIMIT 100000
Q131|SELECT * WHERE { ?x <http://dbpedia.org/property/after> ?y .} LIMIT 100000
Q132|SELECT * WHERE { ?x <http://dbpedia.org/property/pushpinMapCaption> ?y .} LIMIT 100000
Q133|SELECT * WHERE { ?x <http://dbpedia.org/property/imageSize> ?y .} LIMIT 100000
Q134|SELECT * WHERE { ?x <http://dbpedia.org/property/other> ?y .} LIMIT 100000
Q135|SELECT * WHERE { ?x <http://dbpedia.org/property/mapCaption> ?y .} LIMIT 100000
Q136|SELECT * WHERE { ?x <http://dbpedia.org/property/timezoneDst> ?y .} LIMIT 100000
Q137|SELECT * WHERE { ?x <http://dbpedia.org/property/released> ?y .} LIMIT 100000
Q138|SELECT * WHERE { ?x <http://dbpedia.org/property/taxon> ?y .} LIMIT 100000
Q139|SELECT * WHERE { ?x <http://dbpedia.org/property/utcOffsetDst> ?y .} LIMIT 100000
Q140|SELECT * WHERE { ?x <http://dbpedia.org/property/club> ?y .} LIMIT 100000
Q141|SELECT * WHERE { ?x <http://dbpedia.org/ontology/end> ?y .} LIMIT 100000
Q142|SELECT * WHERE { ?x <http://dbpedia.org/property/postalCode> ?y .} LIMIT 100000
Q143|SELECT * WHERE { ?x <http://dbpedia.org/property/extra> ?y .} LIMIT 100000
Q144|SELECT * WHERE { ?x <http://dbpedia.org/property/lat> ?y .} LIMIT 100000
Q145|SELECT * WHERE { ?x <http://dbpedia.org/property/rd1Seed> ?y .} LIMIT 100000
Q146|SELECT * WHERE { ?x <http://dbpedia.org/property/lon> ?y .} LIMIT 100000
Q147|SELECT * WHERE { ?x <http://dbpedia.org/property/count> ?y .} LIMIT 100000
Q148|SELECT * WHERE { ?x <http://dbpedia.org/property/pushpinLabelPosition> ?y .} LIMIT 100000
Q149|SELECT * WHERE { ?x <http://dbpedia.org/property/first> ?y .} LIMIT 100000
Q150|SELECT * WHERE { ?x <http://dbpedia.org/property/artist> ?y .} LIMIT 100000
Q151|SELECT * WHERE { ?x <http://dbpedia.org/property/notes> ?y .} LIMIT 100000
Q152|SELECT * WHERE { ?x <http://dbpedia.org/property/ship> ?y .} LIMIT 100000
Q153|SELECT * WHERE { ?x <http://dbpedia.org/property/rev> ?y .} LIMIT 100000
Q154|SELECT * WHERE { ?x <http://dbpedia.org/ontology/award> ?y .} LIMIT 100000
Q155|SELECT * WHERE { ?x <http://dbpedia.org/ontology/party> ?y .} LIMIT 100000
Q156|SELECT * WHERE { ?x <http://dbpedia.org/property/city> ?y .} LIMIT 100000
Q157|SELECT * WHERE { ?x <http://dbpedia.org/property/nationalteam> ?y .} LIMIT 100000
Q158|SELECT * WHERE { ?x <http://dbpedia.org/property/youthclubs> ?y .} LIMIT 100000
Q159|SELECT * WHERE { ?x <http://dbpedia.org/property/elevationM> ?y .} LIMIT 100000
Q160|SELECT * WHERE { ?x <http://dbpedia.org/property/refnum> ?y .} LIMIT 100000
Q161|SELECT * WHERE { ?x <http://dbpedia.org/ontology/birthName> ?y .} LIMIT 100000
Q162|SELECT * WHERE { ?x <http://dbpedia.org/property/p> ?y .} LIMIT 100000
Q163|SELECT * WHERE { ?x <http://dbpedia.org/property/director> ?y .} LIMIT 100000
Q164|SELECT * WHERE { ?x <http://dbpedia.org/property/children> ?y .} LIMIT 100000
Q165|SELECT * WHERE { ?x <http://dbpedia.org/property/last> ?y .} LIMIT 100000
Q166|SELECT * WHERE { ?x <http://dbpedia.org/ontology/originalName> ?y .} LIMIT 100000
Q167|SELECT * WHERE { ?x <http://dbpedia.org/property/yearsActive> ?y .} LIMIT 100000
Q168|SELECT * WHERE { ?x <http://dbpedia.org/ontology/family> ?y .} LIMIT 100000
Q169|SELECT * WHERE { ?x <http://dbpedia.org/property/unitPref> ?y .} LIMIT 100000
Q170|SELECT * WHERE { ?x <http://dbpedia.org/property/rd3Score> ?y .} LIMIT 100000
Q171|SELECT * WHERE { ?x <http://dbpedia.org/property/status> ?y .} LIMIT 100000
Q172|SELECT * WHERE { ?x <http://dbpedia.org/property/note> ?y .} LIMIT 100000
Q173|SELECT * WHERE { ?x <http://dbpedia.org/ontology/areaCode> ?y .} LIMIT 100000
Q174|SELECT * WHERE { ?x <http://dbpedia.org/property/nationalyears> ?y .} LIMIT 100000
Q175|SELECT * WHERE { ?x <http://dbpedia.org/property/awards> ?y .} LIMIT 100000
Q176|SELECT * WHERE { ?x <http://dbpedia.org/property/areaTotalKm> ?y .} LIMIT 100000
Q177|SELECT * WHERE { ?x <http://dbpedia.org/ontology/battle> ?y .} LIMIT 100000
Q178|SELECT * WHERE { ?x <http://dbpedia.org/property/nationalcaps> ?y .} LIMIT 100000
Q179|SELECT * WHERE { ?x <http://www.w3.org/2002/07/owl#differentFrom> ?y .} LIMIT 100000
Q180|SELECT * WHERE { ?x <http://dbpedia.org/property/nat> ?y .} LIMIT 100000
Q181|SELECT * WHERE { ?x <http://dbpedia.org/ontology/writer> ?y .} LIMIT 100000
Q182|SELECT * WHERE { ?x <http://dbpedia.org/ontology/nationality> ?y .} LIMIT 100000
Q183|SELECT * WHERE { ?x <http://dbpedia.org/property/rd2Seed> ?y .} LIMIT 100000
Q184|SELECT * WHERE { ?x <http://dbpedia.org/property/mile> ?y .} LIMIT 100000
Q185|SELECT * WHERE { ?x <http://dbpedia.org/ontology/Work/runtime> ?y .} LIMIT 100000
Q186|SELECT * WHERE { ?x <http://dbpedia.org/ontology/runtime> ?y .} LIMIT 100000
Q187|SELECT * WHERE { ?x <http://dbpedia.org/property/postalCodeType> ?y .} LIMIT 100000
Q188|SELECT * WHERE { ?x <http://dbpedia.org/property/leaderTitle> ?y .} LIMIT 100000
Q189|SELECT * WHERE { ?x <http://dbpedia.org/property/logo> ?y .} LIMIT 100000
Q190|SELECT * WHERE { ?x <http://dbpedia.org/property/num> ?y .} LIMIT 100000
Q191|SELECT * WHERE { ?x <http://dbpedia.org/property/education> ?y .} LIMIT 100000
Q192|SELECT * WHERE { ?x <http://dbpedia.org/property/nextYear> ?y .} LIMIT 100000
Q193|SELECT * WHERE { ?x <http://dbpedia.org/ontology/formerTeam> ?y .} LIMIT 100000
Q194|SELECT * WHERE { ?x <http://dbpedia.org/property/points> ?y .} LIMIT 100000
Q195|SELECT * WHERE { ?x <http://dbpedia.org/ontology/deathYear> ?y .} LIMIT 100000
Q196|SELECT * WHERE { ?x <http://dbpedia.org/property/leaderName> ?y .} LIMIT 100000
Q197|SELECT * WHERE { ?x <http://dbpedia.org/ontology/order> ?y .} LIMIT 100000
Q198|SELECT * WHERE { ?x <http://dbpedia.org/ontology/personName> ?y .} LIMIT 100000
Q199|SELECT * WHERE { ?x <http://dbpedia.org/property/region> ?y .} LIMIT 100000
Q200|SELECT * WHERE { ?x <http://dbpedia.org/property/areaCode> ?y .} LIMIT 100000
Q201|SELECT * WHERE { ?x <http://dbpedia.org/property/manageryears> ?y .} LIMIT 100000
Q202|SELECT * WHERE { ?x <http://dbpedia.org/property/music> ?y .} LIMIT 100000
Q203|SELECT * WHERE { ?x <http://dbpedia.org/ontology/class> ?y .} LIMIT 100000
Q204|SELECT * WHERE { ?x <http://dbpedia.org/property/state> ?y .} LIMIT 100000
Q205|SELECT * WHERE { ?x <http://dbpedia.org/property/season> ?y .} LIMIT 100000
Q206|SELECT * WHERE { ?x <http://dbpedia.org/property/imageSkyline> ?y .} LIMIT 100000
Q207|SELECT * WHERE { ?x <http://dbpedia.org/property/event> ?y .} LIMIT 100000
Q208|SELECT * WHERE { ?x <http://dbpedia.org/property/rd> ?y .} LIMIT 100000
Q209|SELECT * WHERE { ?x <http://dbpedia.org/property/battles> ?y .} LIMIT 100000
Q210|SELECT * WHERE { ?x <http://dbpedia.org/ontology/recordLabel> ?y .} LIMIT 100000
Q211|SELECT * WHERE { ?x <http://dbpedia.org/property/associatedActs> ?y .} LIMIT 100000
Q212|SELECT * WHERE { ?x <http://dbpedia.org/property/alt> ?y .} LIMIT 100000
Q213|SELECT * WHERE { ?x <http://dbpedia.org/property/originalairdate> ?y .} LIMIT 100000
Q214|SELECT * WHERE { ?x <http://dbpedia.org/property/knownFor> ?y .} LIMIT 100000
Q215|SELECT * WHERE { ?x <http://dbpedia.org/property/width> ?y .} LIMIT 100000
Q216|SELECT * WHERE { ?x <http://dbpedia.org/property/managerclubs> ?y .} LIMIT 100000
Q217|SELECT * WHERE { ?x <http://dbpedia.org/property/height> ?y .} LIMIT 100000
Q218|SELECT * WHERE { ?x <http://dbpedia.org/property/episodenumber> ?y .} LIMIT 100000
Q219|SELECT * WHERE { ?x <http://dbpedia.org/property/youthyears> ?y .} LIMIT 100000
Q220|SELECT * WHERE { ?x <http://dbpedia.org/ontology/associatedBand> ?y .} LIMIT 100000
Q221|SELECT * WHERE { ?x <http://dbpedia.org/ontology/associatedMusicalArtist> ?y .} LIMIT 100000
Q222|SELECT * WHERE { ?x <http://dbpedia.org/property/studio> ?y .} LIMIT 100000
Q223|SELECT * WHERE { ?x <http://dbpedia.org/ontology/leaderTitle> ?y .} LIMIT 100000
Q224|SELECT * WHERE { ?x <http://dbpedia.org/property/nationalgoals> ?y .} LIMIT 100000
Q225|SELECT * WHERE { ?x <http://dbpedia.org/ontology/politicalLeader> ?y .} LIMIT 100000
Q226|SELECT * WHERE { ?x <http://dbpedia.org/property/sport> ?y .} LIMIT 100000
Q227|SELECT * WHERE { ?x <http://dbpedia.org/ontology/city> ?y .} LIMIT 100000
Q228|SELECT * WHERE { ?x <http://dbpedia.org/property/article> ?y .} LIMIT 100000
Q229|SELECT * WHERE { ?x <http://dbpedia.org/property/owner> ?y .} LIMIT 100000
Q230|SELECT * WHERE { ?x <http://dbpedia.org/property/familia> ?y .} LIMIT 100000
Q231|SELECT * WHERE { ?x <http://dbpedia.org/property/runtime> ?y .} LIMIT 100000
Q232|SELECT * WHERE { ?x <http://dbpedia.org/property/classis> ?y .} LIMIT 100000
Q233|SELECT * WHERE { ?x <http://dbpedia.org/property/penalties> ?y .} LIMIT 100000
Q234|SELECT * WHERE { ?x <http://dbpedia.org/property/imageMap> ?y .} LIMIT 100000
Q235|SELECT * WHERE { ?x <http://dbpedia.org/ontology/phylum> ?y .} LIMIT 100000
Q236|SELECT * WHERE { ?x <http://dbpedia.org/property/cover> ?y .} LIMIT 100000
Q237|SELECT * WHERE { ?x <http://dbpedia.org/property/nativeNameLang> ?y .} LIMIT 100000
Q238|SELECT * WHERE { ?x <http://dbpedia.org/property/result> ?y .} LIMIT 100000
Q239|SELECT * WHERE { ?x <http://dbpedia.org/ontology/kingdom> ?y .} LIMIT 100000
Q240|SELECT * WHERE { ?x <http://dbpedia.org/ontology/foundingYear> ?y .} LIMIT 100000
Q241|SELECT * WHERE { ?x <http://dbpedia.org/property/regnum> ?y .} LIMIT 100000
Q242|SELECT * WHERE { ?x <http://dbpedia.org/property/phylum> ?y .} LIMIT 100000
Q243|SELECT * WHERE { ?x <http://dbpedia.org/property/url> ?y .} LIMIT 100000
Q1004|SELECT * WHERE { ?x <http://dbpedia.org/property/accuracy> ?y .} LIMIT 100000
Q244|SELECT * WHERE { ?x <http://dbpedia.org/ontology/PopulatedPlace/populationDensity> ?y .} LIMIT 100000
Q245|SELECT * WHERE { ?x <http://dbpedia.org/ontology/populationDensity> ?y .} LIMIT 100000
Q246|SELECT * WHERE { ?x <http://dbpedia.org/property/nextTitle> ?y .} LIMIT 100000
Q247|SELECT * WHERE { ?x <http://dbpedia.org/property/prevYear> ?y .} LIMIT 100000
Q248|SELECT * WHERE { ?x <http://dbpedia.org/ontology/education> ?y .} LIMIT 100000
Q249|SELECT * WHERE { ?x <http://dbpedia.org/property/prevTitle> ?y .} LIMIT 100000
Q250|SELECT * WHERE { ?x <http://dbpedia.org/property/mapsize> ?y .} LIMIT 100000
Q251|SELECT * WHERE { ?x <http://dbpedia.org/ontology/producer> ?y .} LIMIT 100000
Q252|SELECT * WHERE { ?x <http://dbpedia.org/property/source> ?y .} LIMIT 100000
Q253|SELECT * WHERE { ?x <http://dbpedia.org/property/ordo> ?y .} LIMIT 100000
Q254|SELECT * WHERE { ?x <http://dbpedia.org/property/currentclub> ?y .} LIMIT 100000
Q255|SELECT * WHERE { ?x <http://dbpedia.org/ontology/areaLand> ?y .} LIMIT 100000
Q256|SELECT * WHERE { ?x <http://dbpedia.org/ontology/weight> ?y .} LIMIT 100000
Q257|SELECT * WHERE { ?x <http://dbpedia.org/ontology/releaseDate> ?y .} LIMIT 100000
Q258|SELECT * WHERE { ?x <http://dbpedia.org/ontology/director> ?y .} LIMIT 100000
Q259|SELECT * WHERE { ?x <http://dbpedia.org/ontology/language> ?y .} LIMIT 100000
Q260|SELECT * WHERE { ?x <http://dbpedia.org/property/number> ?y .} LIMIT 100000
Q261|SELECT * WHERE { ?x <http://dbpedia.org/property/college> ?y .} LIMIT 100000
Q262|SELECT * WHERE { ?x <http://dbpedia.org/ontology/managerClub> ?y .} LIMIT 100000
Q263|SELECT * WHERE { ?x <http://dbpedia.org/property/league> ?y .} LIMIT 100000
Q264|SELECT * WHERE { ?x <http://dbpedia.org/property/shortsummary> ?y .} LIMIT 100000
Q265|SELECT * WHERE { ?x <http://dbpedia.org/property/runs> ?y .} LIMIT 100000
Q266|SELECT * WHERE { ?x <http://dbpedia.org/property/blankName> ?y .} LIMIT 100000
Q267|SELECT * WHERE { ?x <http://dbpedia.org/ontology/synonym> ?y .} LIMIT 100000
Q268|SELECT * WHERE { ?x <http://dbpedia.org/property/rd4Team> ?y .} LIMIT 100000
Q269|SELECT * WHERE { ?x <http://dbpedia.org/property/rd4Score> ?y .} LIMIT 100000
Q270|SELECT * WHERE { ?x <http://dbpedia.org/property/conference> ?y .} LIMIT 100000
Q271|SELECT * WHERE { ?x <http://dbpedia.org/property/cinematography> ?y .} LIMIT 100000
Q272|SELECT * WHERE { ?x <http://dbpedia.org/property/publisher> ?y .} LIMIT 100000
Q273|SELECT * WHERE { ?x <http://dbpedia.org/property/rd3Seed> ?y .} LIMIT 100000
Q274|SELECT * WHERE { ?x <http://dbpedia.org/property/keyPeople> ?y .} LIMIT 100000
Q275|SELECT * WHERE { ?x <http://dbpedia.org/property/imagesize> ?y .} LIMIT 100000
Q276|SELECT * WHERE { ?x <http://dbpedia.org/ontology/Person/weight> ?y .} LIMIT 100000
Q277|SELECT * WHERE { ?x <http://dbpedia.org/property/venue> ?y .} LIMIT 100000
Q278|SELECT * WHERE { ?x <http://dbpedia.org/ontology/address> ?y .} LIMIT 100000
Q279|SELECT * WHERE { ?x <http://dbpedia.org/property/established> ?y .} LIMIT 100000
Q280|SELECT * WHERE { ?x <http://dbpedia.org/ontology/number> ?y .} LIMIT 100000
Q281|SELECT * WHERE { ?x <http://dbpedia.org/property/distributor> ?y .} LIMIT 100000
